"","subject","type","item","condition","question","correct_answer","response","rt","group"
"2183","L1 13","gap",18,0.5,"!","{Yes}",0,2054,"L1"
"2187","L1 13","gap",16,0.5,"!","{No}",1,2257,"L1"
"2195","L1 13","gap",22,0.5,"!","{Yes}",0,2414,"L1"
"2237","L1 13","gap",23,-0.5,"!","{Yes}",0,1844,"L1"
"2244","L1 13","gap",19,-0.5,"!","{Yes}",0,1627,"L1"
"2249","L1 13","gap",20,0.5,"!","{No}",1,2005,"L1"
"2256","L1 13","gap",13,-0.5,"!","{Yes}",0,2845,"L1"
"2290","L1 13","gap",17,-0.5,"!","{Yes}",0,2159,"L1"
"2301","L1 13","gap",15,-0.5,"!","{Yes}",0,2863,"L1"
"2311","L1 13","gap",21,-0.5,"!","{Yes}",0,1805,"L1"
"2320","L1 13","gap",24,0.5,"!","{No}",1,3081,"L1"
"2328","L1 13","gap",14,0.5,"!","{No}",1,1539,"L1"
"2388","L1 14","gap",18,-0.5,"!","{No}",1,1517,"L1"
"2400","L1 14","gap",21,0.5,"!","{Yes}",0,1342,"L1"
"2439","L1 14","gap",19,0.5,"!","{Yes}",0,1381,"L1"
"2446","L1 14","gap",23,0.5,"!","{Yes}",0,2746,"L1"
"2456","L1 14","gap",24,-0.5,"!","{No}",1,3699,"L1"
"2464","L1 14","gap",15,0.5,"!","{Yes}",0,1802,"L1"
"2475","L1 14","gap",22,-0.5,"!","{Yes}",0,2010,"L1"
"2491","L1 14","gap",17,0.5,"!","{No}",1,2457,"L1"
"2494","L1 14","gap",20,-0.5,"!","{Yes}",0,1769,"L1"
"2500","L1 14","gap",13,0.5,"!","{Yes}",0,2185,"L1"
"2511","L1 14","gap",14,-0.5,"!","{Yes}",0,1595,"L1"
"2515","L1 14","gap",16,-0.5,"!","{Yes}",0,1706,"L1"
"2536","L1 15","gap",23,-0.5,"!","{Yes}",0,2387,"L1"
"2570","L1 15","gap",22,0.5,"!","{Yes}",0,1662,"L1"
"2574","L1 15","gap",17,-0.5,"!","{Yes}",0,1825,"L1"
"2581","L1 15","gap",19,-0.5,"!","{Yes}",0,4118,"L1"
"2598","L1 15","gap",13,-0.5,"!","{Yes}",0,3107,"L1"
"2605","L1 15","gap",15,-0.5,"!","{Yes}",0,2993,"L1"
"2609","L1 15","gap",18,0.5,"!","{No}",1,2282,"L1"
"2656","L1 15","gap",24,0.5,"!","{No}",1,6838,"L1"
"2660","L1 15","gap",21,-0.5,"!","{Yes}",0,3136,"L1"
"2668","L1 15","gap",14,0.5,"!","{No}",1,4875,"L1"
"2685","L1 15","gap",20,0.5,"!","{No}",1,4957,"L1"
"2695","L1 15","gap",16,0.5,"!","{No}",1,11150,"L1"
"2716","L1 16","gap",23,0.5,"!","{No}",1,1974,"L1"
"2719","L1 16","gap",16,-0.5,"!","{No}",1,1396,"L1"
"2722","L1 16","gap",18,-0.5,"!","{No}",1,2070,"L1"
"2735","L1 16","gap",20,-0.5,"!","{No}",1,3748,"L1"
"2749","L1 16","gap",14,-0.5,"!","{Yes}",0,1406,"L1"
"2761","L1 16","gap",19,0.5,"!","{No}",1,1712,"L1"
"2783","L1 16","gap",21,0.5,"!","{Yes}",0,1904,"L1"
"2786","L1 16","gap",13,0.5,"!","{Yes}",0,1627,"L1"
"2793","L1 16","gap",22,-0.5,"!","{No}",1,1922,"L1"
"2830","L1 16","gap",24,-0.5,"!","{Yes}",0,1690,"L1"
"2868","L1 16","gap",15,0.5,"!","{No}",1,2382,"L1"
"2874","L1 16","gap",17,0.5,"!","{Yes}",0,2105,"L1"
"2908","L1 17","gap",16,0.5,"!","{No}",1,3505,"L1"
"2923","L1 17","gap",13,-0.5,"!","{Yes}",0,1810,"L1"
"2930","L1 17","gap",19,-0.5,"!","{Yes}",0,2885,"L1"
"2954","L1 17","gap",18,0.5,"!","{Yes}",0,1879,"L1"
"2991","L1 17","gap",15,-0.5,"!","{Yes}",0,2080,"L1"
"2999","L1 17","gap",24,0.5,"!","{Yes}",0,2088,"L1"
"3002","L1 17","gap",23,-0.5,"!","{Yes}",0,1260,"L1"
"3015","L1 17","gap",17,-0.5,"!","{Yes}",0,1909,"L1"
"3019","L1 17","gap",22,0.5,"!","{Yes}",0,2885,"L1"
"3036","L1 17","gap",14,0.5,"!","{Yes}",0,2251,"L1"
"3048","L1 17","gap",20,0.5,"!","{No}",1,2761,"L1"
"3059","L1 17","gap",21,-0.5,"!","{Yes}",0,2073,"L1"
"3091","L1 18","gap",14,-0.5,"!","{Yes}",0,1119,"L1"
"3095","L1 18","gap",22,-0.5,"!","{Yes}",0,1283,"L1"
"3106","L1 18","gap",24,-0.5,"!","{No}",1,2434,"L1"
"3116","L1 18","gap",20,-0.5,"!","{No}",1,4687,"L1"
"3132","L1 18","gap",17,0.5,"!","{Yes}",0,1301,"L1"
"3147","L1 18","gap",21,0.5,"!","{Yes}",0,2158,"L1"
"3175","L1 18","gap",15,0.5,"!","{Yes}",0,3267,"L1"
"3195","L1 18","gap",19,0.5,"!","{Yes}",0,1912,"L1"
"3211","L1 18","gap",16,-0.5,"!","{Yes}",0,2772,"L1"
"3214","L1 18","gap",13,0.5,"!","{Yes}",0,1068,"L1"
"3218","L1 18","gap",23,0.5,"!","{Yes}",0,1492,"L1"
"3221","L1 18","gap",18,-0.5,"!","{No}",1,3617,"L1"
"3263","L1 19","gap",16,0.5,"!","{No}",1,7487,"L1"
"3289","L1 19","gap",23,-0.5,"!","{Yes}",0,3690,"L1"
"3293","L1 19","gap",15,-0.5,"!","{Yes}",0,2301,"L1"
"3299","L1 19","gap",20,0.5,"!","{No}",1,3263,"L1"
"3316","L1 19","gap",13,-0.5,"!","{Yes}",0,9527,"L1"
"3319","L1 19","gap",22,0.5,"!","{Yes}",0,2026,"L1"
"3337","L1 19","gap",17,-0.5,"!","{Yes}",0,3349,"L1"
"3340","L1 19","gap",21,-0.5,"!","{Yes}",0,1883,"L1"
"3354","L1 19","gap",19,-0.5,"!","{Yes}",0,2379,"L1"
"3379","L1 19","gap",24,0.5,"!","{Yes}",0,3202,"L1"
"3402","L1 19","gap",14,0.5,"!","{Yes}",0,2656,"L1"
"3419","L1 19","gap",18,0.5,"!","{Yes}",0,2546,"L1"
"3467","L1 20","gap",15,0.5,"!","{Yes}",0,1697,"L1"
"3474","L1 20","gap",22,-0.5,"!","{No}",1,3888,"L1"
"3496","L1 20","gap",17,0.5,"!","{Yes}",0,11287,"L1"
"3503","L1 20","gap",24,-0.5,"!","{Yes}",0,2117,"L1"
"3519","L1 20","gap",21,0.5,"!","{Yes}",0,2522,"L1"
"3533","L1 20","gap",14,-0.5,"!","{Yes}",0,3927,"L1"
"3540","L1 20","gap",13,0.5,"!","{Yes}",0,1551,"L1"
"3544","L1 20","gap",23,0.5,"!","{Yes}",0,4369,"L1"
"3563","L1 20","gap",19,0.5,"!","{No}",1,2324,"L1"
"3570","L1 20","gap",16,-0.5,"!","{Yes}",0,1522,"L1"
"3573","L1 20","gap",18,-0.5,"!","{No}",1,2998,"L1"
"3592","L1 20","gap",20,-0.5,"!","{No}",1,1766,"L1"
"3621","L1 21","gap",17,-0.5,"!","{Yes}",0,1258,"L1"
"3638","L1 21","gap",21,-0.5,"!","{Yes}",0,1021,"L1"
"3644","L1 21","gap",18,0.5,"!","{No}",1,1797,"L1"
"3651","L1 21","gap",19,-0.5,"!","{Yes}",0,1108,"L1"
"3662","L1 21","gap",24,0.5,"!","{Yes}",0,2156,"L1"
"3670","L1 21","gap",22,0.5,"!","{No}",1,2004,"L1"
"3698","L1 21","gap",14,0.5,"!","{Yes}",0,1461,"L1"
"3701","L1 21","gap",23,-0.5,"!","{No}",1,1083,"L1"
"3704","L1 21","gap",16,0.5,"!","{No}",1,1130,"L1"
"3718","L1 21","gap",15,-0.5,"!","{No}",1,952,"L1"
"3754","L1 21","gap",20,0.5,"!","{No}",1,1213,"L1"
"3779","L1 21","gap",13,-0.5,"!","{Yes}",0,1121,"L1"
"3808","L1 22","gap",15,0.5,"!","{Yes}",0,3088,"L1"
"3812","L1 22","gap",13,0.5,"!","{Yes}",0,2030,"L1"
"3815","L1 22","gap",20,-0.5,"!","{No}",1,4021,"L1"
"3819","L1 22","gap",23,0.5,"!","{Yes}",0,2466,"L1"
"3848","L1 22","gap",18,-0.5,"!","{Yes}",0,2202,"L1"
"3855","L1 22","gap",16,-0.5,"!","{Yes}",0,4134,"L1"
"3863","L1 22","gap",24,-0.5,"!","{Yes}",0,1880,"L1"
"3879","L1 22","gap",21,0.5,"!","{Yes}",0,2561,"L1"
"3885","L1 22","gap",19,0.5,"!","{Yes}",0,2388,"L1"
"3896","L1 22","gap",17,0.5,"!","{Yes}",0,2816,"L1"
"3923","L1 22","gap",22,-0.5,"!","{Yes}",0,2240,"L1"
"3938","L1 22","gap",14,-0.5,"!","{Yes}",0,1844,"L1"
"3986","L1 23","gap",15,-0.5,"!","{Yes}",0,2929,"L1"
"3998","L1 23","gap",20,0.5,"!","{No}",1,2871,"L1"
"4009","L1 23","gap",24,0.5,"!","{No}",1,1526,"L1"
"4042","L1 23","gap",17,-0.5,"!","{No}",1,1307,"L1"
"4045","L1 23","gap",19,-0.5,"!","{No}",1,1331,"L1"
"4056","L1 23","gap",14,0.5,"!","{Yes}",0,2348,"L1"
"4083","L1 23","gap",18,0.5,"!","{Yes}",0,3076,"L1"
"4090","L1 23","gap",16,0.5,"!","{Yes}",0,1957,"L1"
"4101","L1 23","gap",13,-0.5,"!","{Yes}",0,1529,"L1"
"4112","L1 23","gap",23,-0.5,"!","{No}",1,3623,"L1"
"4118","L1 23","gap",21,-0.5,"!","{Yes}",0,1357,"L1"
"4125","L1 23","gap",22,0.5,"!","{Yes}",0,3647,"L1"
"4156","L1 24","gap",13,0.5,"!","{Yes}",0,1926,"L1"
"4178","L1 24","gap",23,0.5,"!","{Yes}",0,2437,"L1"
"4182","L1 24","gap",19,0.5,"!","{Yes}",0,1500,"L1"
"4192","L1 24","gap",14,-0.5,"!","{Yes}",0,1550,"L1"
"4230","L1 24","gap",20,-0.5,"!","{No}",1,2259,"L1"
"4240","L1 24","gap",21,0.5,"!","{Yes}",0,1778,"L1"
"4246","L1 24","gap",18,-0.5,"!","{Yes}",0,1419,"L1"
"4250","L1 24","gap",22,-0.5,"!","{Yes}",0,1299,"L1"
"4260","L1 24","gap",15,0.5,"!","{Yes}",0,2146,"L1"
"4268","L1 24","gap",24,-0.5,"!","{Yes}",0,2231,"L1"
"4275","L1 24","gap",16,-0.5,"!","{No}",1,1520,"L1"
"4293","L1 24","gap",17,0.5,"!","{Yes}",0,1150,"L1"
"4377","L1 25","gap",24,0.5,"!","{Yes}",0,1322,"L1"
"4384","L1 25","gap",16,0.5,"!","{No}",1,3314,"L1"
"4387","L1 25","gap",17,-0.5,"!","{Yes}",0,954,"L1"
"4405","L1 25","gap",13,-0.5,"!","{Yes}",0,1532,"L1"
"4420","L1 25","gap",22,0.5,"!","{No}",1,1763,"L1"
"4431","L1 25","gap",18,0.5,"!","{No}",1,2058,"L1"
"4440","L1 25","gap",21,-0.5,"!","{Yes}",0,1469,"L1"
"4443","L1 25","gap",23,-0.5,"!","{No}",1,2393,"L1"
"4457","L1 25","gap",15,-0.5,"!","{Yes}",0,1726,"L1"
"4468","L1 25","gap",19,-0.5,"!","{Yes}",0,1253,"L1"
"4476","L1 25","gap",14,0.5,"!","{No}",1,1221,"L1"
"4491","L1 25","gap",20,0.5,"!","{Yes}",0,3658,"L1"
"4534","L1 26","gap",19,0.5,"!","{Yes}",0,2715,"L1"
"4537","L1 26","gap",15,0.5,"!","{No}",1,2440,"L1"
"4555","L1 26","gap",21,0.5,"!","{Yes}",0,2504,"L1"
"4570","L1 26","gap",17,0.5,"!","{No}",1,1535,"L1"
"4583","L1 26","gap",14,-0.5,"!","{Yes}",0,2610,"L1"
"4601","L1 26","gap",13,0.5,"!","{Yes}",0,3218,"L1"
"4607","L1 26","gap",22,-0.5,"!","{No}",1,2991,"L1"
"4610","L1 26","gap",20,-0.5,"!","{No}",1,2569,"L1"
"4636","L1 26","gap",16,-0.5,"!","{No}",1,2543,"L1"
"4643","L1 26","gap",18,-0.5,"!","{No}",1,1883,"L1"
"4660","L1 26","gap",24,-0.5,"!","{No}",1,2589,"L1"
"4664","L1 26","gap",23,0.5,"!","{Yes}",0,2512,"L1"
"4719","L1 27","gap",20,0.5,"!","{Yes}",0,1874,"L1"
"4729","L1 27","gap",19,-0.5,"!","{Yes}",0,1744,"L1"
"4737","L1 27","gap",24,0.5,"!","{Yes}",0,1769,"L1"
"4766","L1 27","gap",17,-0.5,"!","{Yes}",0,3453,"L1"
"4770","L1 27","gap",23,-0.5,"!","{Yes}",0,1555,"L1"
"4777","L1 27","gap",14,0.5,"!","{No}",1,1216,"L1"
"4803","L1 27","gap",22,0.5,"!","{Yes}",0,994,"L1"
"4809","L1 27","gap",18,0.5,"!","{Yes}",0,1191,"L1"
"4819","L1 27","gap",16,0.5,"!","{No}",1,5218,"L1"
"4833","L1 27","gap",15,-0.5,"!","{Yes}",0,1264,"L1"
"4840","L1 27","gap",13,-0.5,"!","{Yes}",0,1472,"L1"
"4847","L1 27","gap",21,-0.5,"!","{Yes}",0,1490,"L1"
"4875","L1 28","gap",24,-0.5,"!","{Yes}",0,3675,"L1"
"4879","L1 28","gap",15,0.5,"!","{Yes}",0,3227,"L1"
"4893","L1 28","gap",20,-0.5,"!","{Yes}",0,4531,"L1"
"4926","L1 28","gap",18,-0.5,"!","{No}",1,2195,"L1"
"4932","L1 28","gap",14,-0.5,"!","{Yes}",0,1291,"L1"
"4936","L1 28","gap",17,0.5,"!","{Yes}",0,1596,"L1"
"4947","L1 28","gap",13,0.5,"!","{Yes}",0,1433,"L1"
"4954","L1 28","gap",21,0.5,"!","{Yes}",0,1010,"L1"
"4967","L1 28","gap",19,0.5,"!","{Yes}",0,2478,"L1"
"5004","L1 28","gap",23,0.5,"!","{Yes}",0,1311,"L1"
"5020","L1 28","gap",16,-0.5,"!","{No}",1,3831,"L1"
"5027","L1 28","gap",22,-0.5,"!","{No}",1,2099,"L1"
"5085","L1 29","gap",17,-0.5,"!","{Yes}",0,1089,"L1"
"5088","L1 29","gap",22,0.5,"!","{Yes}",0,1732,"L1"
"5096","L1 29","gap",18,0.5,"!","{No}",1,2901,"L1"
"5110","L1 29","gap",15,-0.5,"!","{No}",1,3530,"L1"
"5116","L1 29","gap",24,0.5,"!","{Yes}",0,1130,"L1"
"5122","L1 29","gap",20,0.5,"!","{No}",1,3041,"L1"
"5129","L1 29","gap",23,-0.5,"!","{No}",1,2243,"L1"
"5146","L1 29","gap",16,0.5,"!","{No}",1,1398,"L1"
"5151","L1 29","gap",14,0.5,"!","{Yes}",0,1234,"L1"
"5172","L1 29","gap",19,-0.5,"!","{Yes}",0,2521,"L1"
"5180","L1 29","gap",13,-0.5,"!","{Yes}",0,1655,"L1"
"5192","L1 29","gap",21,-0.5,"!","{Yes}",0,1517,"L1"
"5235","L1 30","gap",23,0.5,"!","{No}",1,2539,"L1"
"5243","L1 30","gap",13,0.5,"!","{No}",1,1970,"L1"
"5254","L1 30","gap",18,-0.5,"!","{No}",1,1815,"L1"
"5260","L1 30","gap",17,0.5,"!","{No}",1,1489,"L1"
"5266","L1 30","gap",20,-0.5,"!","{No}",1,2505,"L1"
"5315","L1 30","gap",21,0.5,"!","{No}",1,1661,"L1"
"5337","L1 30","gap",15,0.5,"!","{No}",1,2012,"L1"
"5348","L1 30","gap",16,-0.5,"!","{No}",1,1793,"L1"
"5376","L1 30","gap",19,0.5,"!","{No}",1,1452,"L1"
"5380","L1 30","gap",14,-0.5,"!","{No}",1,1331,"L1"
"5388","L1 30","gap",22,-0.5,"!","{No}",1,1500,"L1"
"5398","L1 30","gap",24,-0.5,"!","{Yes}",0,1081,"L1"
"5415","L1 31","gap",15,-0.5,"!","{No}",1,3582,"L1"
"5422","L1 31","gap",24,0.5,"!","{Yes}",0,3813,"L1"
"5468","L1 31","gap",19,-0.5,"!","{Yes}",0,1303,"L1"
"5475","L1 31","gap",18,0.5,"!","{No}",1,6798,"L1"
"5483","L1 31","gap",23,-0.5,"!","{Yes}",0,1789,"L1"
"5494","L1 31","gap",22,0.5,"!","{Yes}",0,2638,"L1"
"5504","L1 31","gap",17,-0.5,"!","{Yes}",0,1713,"L1"
"5508","L1 31","gap",20,0.5,"!","{No}",1,2740,"L1"
"5530","L1 31","gap",14,0.5,"!","{Yes}",0,2111,"L1"
"5542","L1 31","gap",13,-0.5,"!","{Yes}",0,2631,"L1"
"5556","L1 31","gap",21,-0.5,"!","{Yes}",0,1844,"L1"
"5578","L1 31","gap",16,0.5,"!","{Yes}",0,2109,"L1"
"5602","L1 32","gap",19,0.5,"!","{Yes}",0,3338,"L1"
"5611","L1 32","gap",21,0.5,"!","{Yes}",0,1080,"L1"
"5629","L1 32","gap",22,-0.5,"!","{No}",1,1323,"L1"
"5633","L1 32","gap",23,0.5,"!","{No}",1,1180,"L1"
"5644","L1 32","gap",20,-0.5,"!","{No}",1,2758,"L1"
"5651","L1 32","gap",17,0.5,"!","{No}",1,959,"L1"
"5656","L1 32","gap",24,-0.5,"!","{Yes}",0,1208,"L1"
"5659","L1 32","gap",15,0.5,"!","{Yes}",0,2480,"L1"
